NCESSCH,NAME,LAT,LON,grade,Has_Calc,Num_Calc_Classes,Has_CS,Num_CS_Classes,Has_Physics,Num_Physics_Classes
062271002830,Dan M. Issacs Avalon High,33.79207699999999,-118.263682,D,No,0,No,0,No,0
062271002838,Phineas Banning Senior High,33.794516,-118.261379,D,Yes,2,Yes,1,Yes,8
062271002844,Bell Senior High,33.974252,-118.19003699999999,C,Yes,2,Yes,1,Yes,1
062271002941,Crenshaw Sci Tech Engr Math and Med Magnet,33.996893,-118.32901299999999,B,Yes,1,Yes,5,No,0
062271002970,Eagle Rock High,34.131836,-118.20652700000001,C,Yes,2,No,0,Yes,3
062271003021,Benjamin Franklin Senior High,34.115987,-118.19880999999998,C,Yes,3,Yes,5,Yes,4
062271003037,James A. Garfield Senior High,34.026115999999995,-118.157723,C,Yes,2,Yes,6,Yes,15
062271003082,Highland Park Continuation,34.11737999999999,-118.201163,C,No,0,No,0,No,0
062271003093,John Hope Continuation,33.96755199999999,-118.26706,C,No,0,No,0,No,0
062271003098,Huntington Park Senior High,33.98664899999999,-118.218855,C,Yes,1,Yes,16,Yes,34
062271003109,Jordan High,33.943589,-118.231109,D,No,0,No,0,Yes,5
062271003110,Joseph Pomeroy Widney CAR Prep and Transition CTR,34.03592,-118.312575,C,No,0,No,0,No,0
062271003139,Abraham Lincoln Senior High,34.07467799999999,-118.20403099999999,D,Yes,2,Yes,14,Yes,5
062271003163,Manual Arts Senior High,34.008327,-118.292169,C,Yes,1,Yes,4,Yes,1
062271003171,John Marshall Senior High,34.108046,-118.27740699999997,B,Yes,5,No,0,Yes,6
062271003197,Monterey Continuation,34.028351,-118.15873199999997,C,No,0,No,0,Yes,1
062271003201,Mt. Lukens Continuation,34.25993100000001,-118.300484,C,No,0,No,0,No,0
062271003214,Harris Newmark Continuation,34.06153599999999,-118.26328199999998,D,No,0,Yes,16,Yes,1
062271003235,Odyssey Continuation,33.955282999999994,-118.21123100000001,B,No,0,No,0,No,0
062271003296,Ramona Opportunity High,34.03392899999999,-118.19094700000001,D,No,0,No,0,No,0
062271003314,Will Rogers Continuation,34.187940000000005,-118.45396499999998,B,No,0,Yes,1,No,0
062271003315,Theodore Roosevelt Senior High,34.038388000000005,-118.21107100000002,D,Yes,1,Yes,3,Yes,4
062271003325,San Fernando Senior High,34.27222199999999,-118.44285100000002,C,Yes,6,Yes,9,Yes,4
062271003330,San Pedro Senior High,33.730073,-118.29934899999999,C,Yes,3,Yes,9,Yes,7
062271003364,South Gate Senior High,33.955113000000004,-118.20990599999999,B,Yes,3,Yes,6,Yes,3
062271003397,Thomas Riley High,33.942765,-118.24712000000001,D,No,0,No,0,No,0
062271003413,University High School Charter,34.045564,-118.460961,D,Yes,4,Yes,7,Yes,3
062271003430,Verdugo Hills Senior High,34.261092,-118.29845799999998,C,Yes,4,Yes,6,Yes,6
062271003477,Whitney Young Continuation,33.995183999999995,-118.326031,B,No,0,No,0,No,0
062271007118,City of Angels,34.03394,-118.186165,D,No,0,Yes,88,Yes,17
062271007751,Belmont Senior High,34.06153599999999,-118.26328199999998,D,Yes,1,No,0,Yes,1
062271007757,Downtown Business High,34.061413,-118.255017,D,Yes,5,Yes,8,Yes,5
062271007760,James J. McBride Special Education Center,34.000898,-118.430762,C,No,0,No,0,No,0
062271007762,Alfonso B. Perez Special Education Center,34.038373,-118.16808300000001,D,No,0,No,0,No,0
062271007763,Boyle Heights Continuation,34.037316,-118.211893,D,No,0,No,0,No,0
062271007764,Sophia T. Salvin Special Education Center,34.038416,-118.296805,D,No,0,No,0,No,0
062271008886,Diane S. Leichman Career Preparatory and Transition Center,34.198781999999994,-118.54836899999997,C,No,0,No,0,No,0
062271008887,Los Angeles Center for Enriched Studies,34.044267,-118.37143300000001,B,Yes,5,Yes,2,Yes,4
062271010240,Francisco Bravo Medical Magnet High,34.05812000000001,-118.202889,D,Yes,5,No,0,Yes,2
062271010842,Richard A. Alonzo Community Day,34.094956,-118.315297,C,No,0,No,0,No,0
062271010889,Maywood Academy High,33.982224,-118.18898099999997,C,No,0,Yes,4,Yes,2
062271011626,Santee Education Complex,34.029106999999996,-118.26282899999998,D,Yes,1,No,0,Yes,4
062271011650,School of Business and Tourism at Contreras Learning Complex,34.05748599999999,-118.261472,C,No,0,No,0,Yes,2
062271011651,East Valley Senior High,34.170983,-118.371581,C,No,0,Yes,1,No,0
062271011888,Contreras Lrng Center-Los Angeles Sch of Global Studies,34.05748599999999,-118.261472,C,No,0,No,0,Yes,3
062271012114,West Adams Preparatory High,34.039665,-118.28970000000001,D,Yes,1,No,0,Yes,5
062271012234,Helen Bernstein High,34.09598700000001,-118.31390499999999,C,Yes,2,Yes,4,Yes,2
062271012295,Edward R. Roybal Learning Center,34.061413,-118.255017,D,Yes,1,Yes,3,Yes,3
062271012314,Contreras Learning Center-Academic Leadership Community,34.05748599999999,-118.261472,C,Yes,1,No,0,Yes,2
062271012438,Felicitas and Gonzalo Mendez High,34.04853799999999,-118.22695299999998,D,Yes,4,Yes,13,Yes,5
062271012657,E. Los Angeles Renaiss Acad at Esteban E. Torres High #2,34.04184599999999,-118.17553100000002,D,Yes,1,No,0,No,0
062271012711,Humanitas Acad of Art and Tech at Esteban E. Torres High #4,34.04184599999999,-118.17553100000002,D,No,0,Yes,3,Yes,3
062271012720,Soc Just Leadership Acad at Esteban E. Torres High #5,34.04184599999999,-118.17553100000002,D,Yes,1,No,0,Yes,1
062271012771,Barack Obama Global Preparation Academy,34.000983999999995,-118.30923300000002,C,No,0,Yes,1,No,0
062271012787,Esteban Torres East LA Performing Arts Magnet,34.04184599999999,-118.17553100000002,D,Yes,1,Yes,4,Yes,2
062271012791,Math Science & Technology Magnet Academy at Roosevelt High,34.038388000000005,-118.21107100000002,D,Yes,3,No,0,Yes,10
062271012819,Engr and Tech Acad at Esteban E. Torres High #3,34.04184599999999,-118.17553100000002,D,Yes,2,Yes,1,Yes,1
062271012871,Dr. Maya Angelou Community High,33.994012000000005,-118.26729199999997,D,Yes,1,No,0,Yes,12
062271012885,Performing Arts Community at Diego Rivera Learning Complex,33.983657,-118.25596100000001,D,Yes,1,No,0,Yes,1
062271012937,Diego Rivera Learning Complex Green Design STEAM Academy,33.983657,-118.25596100000001,D,Yes,1,Yes,1,Yes,6
062271012971,Public Service Community at Diego Rivera Learning Complex,33.983657,-118.25596100000001,D,Yes,1,Yes,3,No,0
062271012973,Communication and Tech at Diego Rivera Lrng Complex,33.983657,-118.25596100000001,D,No,0,Yes,3,Yes,4
062271013065,Augustus Hawkins High,33.986351,-118.288193,C,Yes,1,Yes,6,Yes,6
062271013079,Mervyn M. Dymally High,33.957097,-118.269051,C,No,0,Yes,2,Yes,2
062271013086,Linda Esperanza Marquez High C School of Social Justice,33.982915000000006,-118.23404,D,Yes,1,Yes,1,No,0
062271013101,Hilda L. Solis Lrng Acad Sch of Tech Business and Ed,34.03922,-118.171921,D,Yes,1,No,0,Yes,2
062271013139,STEM Academy at Bernstein High,34.09598700000001,-118.31390499999999,C,Yes,2,Yes,4,Yes,5
062271013173,Linda Esperanza Marquez High A Hntngtn Park Inst of Appl Med,33.982915000000006,-118.23404,D,Yes,1,No,0,Yes,6
062271013203,Linda Esperanza Marquez High B LIBRA Academy,33.982915000000006,-118.23404,D,Yes,2,No,0,No,0
062271013271,Contreras Learning Center-School of Social Justice,34.05748599999999,-118.261472,C,Yes,1,No,0,Yes,2
062271013775,Boyle Heights Sci Tech Engr and Math Magnet,34.036887,-118.20986499999998,D,No,0,No,0,Yes,1
062271013971,Science Academy STEM Magnet,34.170983,-118.371581,C,Yes,5,Yes,2,Yes,5
062271014102,Maywood Center for Enriched Studies,33.987696,-118.183025,C,Yes,3,Yes,8,Yes,2
062271014112,Horace Mann UCLA Community,33.976206,-118.31155799999999,C,Yes,1,No,0,Yes,2
062271014289,University Pathways Public Service Academy,33.960623,-118.24893300000001,D,No,0,No,0,No,0
062271014307,University Pathways Medical Magnet Academy,33.932266999999996,-118.27002699999997,C,No,0,No,0,No,0
062547008726,Montebello Community Day,34.02380099999999,-118.141579,B,No,0,No,0,No,0
062547012972,Applied Technology Center,34.004799999999996,-118.117,C,No,0,No,0,Yes,1
062805004255,Dewey Academy High,37.79692099999999,-122.25818000000001,D,No,0,No,0,Yes,5
062805007804,Street Academy Alternative High,37.817603000000005,-122.26552400000001,C,No,0,No,0,Yes,2
062805008676,LIFE Academy,37.784649999999985,-122.216614,C,No,0,No,0,No,0
062805011350,MetWest High,37.795308,-122.257863,D,No,0,No,0,Yes,1
062805011555,McClymonds High,37.818177999999996,-122.27904899999999,D,No,0,No,0,Yes,2
062805012049,Oakland International High,37.83384300000001,-122.26048999999998,C,No,0,No,0,Yes,3
062805012325,Ralph J. Bunche Continuation High,37.80810900000001,-122.282439,D,No,0,No,0,No,0
062805012506,Gateway to College High at Laney College,37.796538,-122.263195,D,No,0,No,0,No,0
062805012611,Young Adult Program,37.838115,-122.274316,D,No,0,No,0,No,0
062970010532,Palos Verdes High,33.78060000000001,-118.4196,A,Yes,5,No,0,Yes,4
062994004662,Blair High,34.126452,-118.14633399999998,D,Yes,1,No,0,Yes,9
062994004669,Rose City High (Continuation),34.139875,-118.134667,C,No,0,No,0,Yes,1
063033004731,Piedmont High,37.823232,-122.233126,A,No,0,Yes,4,Yes,5
063033007819,Millennium High Alternative,37.82286599999999,-122.23374899999999,A,No,0,No,0,No,0
063132004840,Fremont Academy of Engineering and Design,34.040901,-117.75620700000002,C,No,0,Yes,20,Yes,10
063132004842,Garey High,34.037465,-117.752513,C,Yes,5,Yes,20,Yes,16
063384005221,American Legion High (Continuation),38.547923,-121.46442900000001,C,No,0,No,0,No,0
063384011194,The MET,38.56731,-121.50134999999999,D,No,0,No,0,Yes,2
063432005468,Garfield High,32.71840399999999,-117.14920499999998,D,No,0,No,0,Yes,9
063432005482,Hoover High,32.756028,-117.09800499999999,C,Yes,1,Yes,8,Yes,17
063432005496,La Jolla High,32.833426,-117.272757,B,Yes,1,Yes,4,Yes,9
063432005526,Morse High,32.70110499999999,-117.048031,D,Yes,2,Yes,5,Yes,20
063432005537,Point Loma High,32.739946,-117.225576,A,No,0,No,0,Yes,18
063432007682,ALBA,32.750766,-117.13484999999999,C,No,0,No,0,Yes,2
063432011939,Lincoln High,32.70349399999999,-117.089526,C,Yes,2,Yes,7,Yes,15
063432013144,Home & Hosp/Transition Support,32.754564,-117.147475,C,No,0,No,0,No,0
