NCESSCH,NAME,LAT,LON,grade,Has_Calc,Num_Calc_Classes,Has_CS,Num_CS_Classes,Has_Physics,Num_Physics_Classes,SCH_STATUS_MAGNET,SCH_STATUS_CHARTER,MAGNET_OR_CHARTER_FLAG,SCH_FTETEACH_TOT,SCH_FTETEACH_CERT,PCT_CERTIFIED_FTE,TITLEI_STATUS,TITLE1_FLAG
290000901195,HOGAN ST REGIONAL YOUTH CTR.,38.646625,-90.200624,D,No,0,No,0,No,0,No,No,0,4.0,4.0,100.0,NOTTITLE1ELIG,0.0
290000901287,ALTERNATIVE RESOURCE CTR.,39.070724,-94.585693,D,No,0,No,0,No,0,No,No,0,2.0,2.0,100.0,NOTTITLE1ELIG,0.0
290000901364,EXCEL SCHOOL,37.19021599999999,-93.31426799999998,D,No,0,No,0,No,0,No,No,0,3.0,3.0,100.0,NOTTITLE1ELIG,0.0
290000901936,DATEMA HOUSE,37.19783499999999,-93.28978999999998,C,No,0,No,0,No,0,No,No,0,1.0,1.0,100.0,NOTTITLE1ELIG,0.0
290000903153,MET DAY TREATMENT CENTER,38.669485,-90.296312,C,No,0,No,0,No,0,No,No,0,2.0,2.0,100.0,NOTTITLE1ELIG,0.0
290001402743,HOGAN PREPARATORY ACADEMY,39.010566,-94.572345,C,No,0,No,0,No,0,No,Yes,1,32.0,31.0,96.875,SWELIGSWPROG,
290001703331,Academie Lafayette Armour IMS,39.063407999999995,-94.58275199999999,C,No,0,Yes,9,No,0,No,Yes,1,30.0,24.0,80.0,SWELIGSWPROG,
290002103038,MO School for the Blind - HS,38.608336999999985,-90.24454899999999,B,No,0,Yes,1,Yes,1,No,No,0,11.87,11.37,95.787700084246,NOTTITLE1ELIG,0.0
290002503233,ALLEN VILLAGE HIGH SCHOOL,39.05136399999999,-94.59261599999999,D,No,0,Yes,3,Yes,2,No,Yes,1,11.5,9.5,82.6086956521739,SWELIGSWPROG,
290002902741,GUADALUPE CENTERS HIGH SCHOOL,39.094229,-94.564976,D,No,0,Yes,6,Yes,6,No,Yes,1,32.0,30.0,93.75,SWELIGSWPROG,
290057403183,LIFT FOR LIFE ACADEMY HIGH SCH,38.608525,-90.20044199999998,D,Yes,1,No,0,No,0,No,Yes,1,33.0,29.0,87.87878787878788,SWELIGSWPROG,
290057903342,GRAND CENTER ARTS ACADEMY HIGH,38.640650999999984,-90.230789,D,Yes,2,No,0,Yes,12,No,Yes,1,36.21,31.68,87.48964374482186,SWELIGSWPROG,
290059003181,FRONTIER SCHL OF EXCELLENCE-U,39.025086,-94.57356399999999,C,No,0,Yes,2,No,0,No,Yes,1,23.0,21.0,91.30434782608695,SWELIGSWPROG,
290059303176,DeLaSalle Charter High School,39.05845099999999,-94.571505,C,No,0,No,0,Yes,3,No,Yes,1,13.0,11.0,84.61538461538461,SWELIGSWPROG,
290060803317,Hawthorn High School,38.666046,-90.260022,C,No,0,No,0,No,0,No,Yes,1,6.0,4.0,66.66666666666666,SWELIGSWPROG,
290588000131,BRENTWOOD HIGH,38.621239,-90.353914,C,Yes,2,Yes,4,Yes,8,No,No,0,22.43,22.43,100.0,TGELGBNOPROG,
290825002810,CENTER ALTERNATIVE,38.97355499999998,-94.56807999999998,C,No,0,No,0,No,0,No,No,0,10.0,10.0,100.0,NOTTITLE1ELIG,0.0
291201002691,STEAM ACADEMY AT MSB HIGH SCHO,38.73260500000001,-90.304765,C,Yes,2,Yes,12,Yes,4,No,No,0,34.0,34.0,100.0,SWELIGSWPROG,
291362000583,HANCOCK SR. HIGH,38.52475599999999,-90.28104,C,Yes,1,Yes,6,No,0,No,No,0,25.0,25.0,100.0,SWELIGNOPROG,
291548003096,VAN HORN HIGH,39.096059,-94.463093,C,Yes,2,Yes,10,Yes,4,No,No,0,61.44,60.44,98.37239583333334,SWELIGSWPROG,
291629000769,JENNINGS HIGH,38.72716799999999,-90.255518,B,No,0,No,0,No,0,No,No,0,39.0,39.0,100.0,SWELIGSWPROG,
291640000860,NORTHEAST HIGH,39.108388,-94.52536699999999,C,No,0,Yes,6,Yes,5,No,No,0,37.5,34.5,92.0,SWELIGSWPROG,
