NCESSCH,NAME,LAT,LON,CITY,STATE
170993000867,Irving Elem School,41.8718,-87.683,Chicago,IL
170993000868,Chicago World Language Academy,41.8748,-87.6609,Chicago,IL
170993000869,Jahn Elem School,41.9392,-87.6753,Chicago,IL
170993000870,Jamieson Elem School,41.9844,-87.7009,Chicago,IL
170993000875,Jensen Elem Scholastic Academy,41.8741,-87.7023,Chicago,IL
170993000878,Pilsen Elem Community Academy,41.8589,-87.6625,Chicago,IL
170993000879,Hirsch Metropolitan High School,41.754,-87.6019,Chicago,IL
170993000880,Johnson Elem School,41.8619,-87.7035,Chicago,IL
170993000881,Jungman Elem School,41.8586,-87.6525,Chicago,IL
170993000882,Kellogg Elem School,41.7254,-87.6767,Chicago,IL
170993000883,Kershaw Elem School,41.7768,-87.6411,Chicago,IL
170993000884,Addams Elem School,41.6985,-87.5334,Chicago,IL
170993000886,Kilmer Elem School,42.0042,-87.6685,Chicago,IL
170993000888,Poe Elem Classical School,41.7025,-87.6065,Chicago,IL
170993000889,Hubbard High School,41.7801,-87.7187,Chicago,IL
170993000890,Kinzie Elem School,41.7895,-87.7789,Chicago,IL
170993000892,Kipling Elem School,41.724,-87.6393,Chicago,IL
170993000893,Hyde Park Academy High School,41.78211,-87.587269,Chicago,IL
170993000895,Julian High School,41.7061,-87.6544,Chicago,IL
170993000898,Wildwood Elem School,42.0073,-87.7786,Chicago,IL
170993000899,Hughes L Elem School,41.7055,-87.6291,Chicago,IL
170993000901,Lozano Elem Bilingual & Intl Ctr,41.9091,-87.6649,Chicago,IL
170993000903,Kozminski Elem Community Academy,41.7985,-87.6023,Chicago,IL
170993000905,LaSalle Elem Language Academy,41.9138,-87.6378,Chicago,IL
170993000907,Lawndale Elem Community Academy,41.8633,-87.7134,Chicago,IL
170993000911,Lewis Elem School,41.907059,-87.754325,Chicago,IL
170993000914,Courtenay Elem Language Arts Ctr,41.9623,-87.6641,Chicago,IL
170993000916,Libby Elem School,41.7964,-87.66,Chicago,IL
170993000918,Lincoln Elem School,41.9244,-87.6446,Chicago,IL
170993000919,Linne Elem School,41.940248,-87.702373,Chicago,IL
170993000920,Thomas Kelly College Preparatory,41.818178,-87.694838,Chicago,IL
170993000923,Kelvyn Park High School,41.92744,-87.736051,Chicago,IL
170993000924,Kennedy High School,41.7902,-87.7808,Chicago,IL
