freq,size_emp,cost,unit,geo\TIME_PERIOD	2005 	2010 	2015 	2020 
A,10-49,NET,EUR,BG	0 	-1 b	-2 	0 
A,10-49,NET,EUR,CY	54 	77 	74 	2 
A,10-49,NET,EUR,CZ	0 	-6 b	-20 bd	-93 b
A,10-49,NET,EUR,DE	-2 	4 b	10 	3 
A,10-49,NET,EUR,DK	3 u	4 b	19 	9 
A,10-49,NET,EUR,EE	-1 	-9 b	-2 	-4 
A,10-49,NET,EUR,EL	4 	55 b	96 	1 
A,10-49,NET,EUR,ES	21 	103 b	87 	-17 
A,10-49,NET,EUR,EU27_2020	50 	56 	67 	37 
A,10-49,NET,EUR,EU28	44 	51 b	60 	: 
A,10-49,NET,EUR,FI	-5 	0 b	-5 	-1 
A,10-49,NET,EUR,FR	248 	200 	294 	225 
A,10-49,NET,EUR,HR	: 	-4 	-4 	-6 
A,10-49,NET,EUR,HU	35 	51 b	61 	78 b
A,10-49,NET,EUR,IE	-1 	: 	10 	41 
A,10-49,NET,EUR,IT	49 	66 	68 	50 
A,10-49,NET,EUR,LT	0 	-16 b	3 	-1 
A,10-49,NET,EUR,LU	3 	-31 b	-26 	-4 
A,10-49,NET,EUR,LV	: 	0 	-2 	-1 
A,10-49,NET,EUR,MK	: 	: 	5 	-2 
A,10-49,NET,EUR,MT	-4 	-5 b	9 	-2 
A,10-49,NET,EUR,NL	21 u	26 b	22 	11 
A,10-49,NET,EUR,NO	2 	-9 	-20 	-13 
A,10-49,NET,EUR,PL	0 	-5 b	-1 	-2 
A,10-49,NET,EUR,PT	-4 	-31 b	1 	-1 
A,10-49,NET,EUR,RO	0 	: 	0 	0 
A,10-49,NET,EUR,RS	: 	: 	: 	-2 
A,10-49,NET,EUR,SE	-8 	-4 b	61 b	-1 b
A,10-49,NET,EUR,SI	-10 	-35 b	-5 	-13 
A,10-49,NET,EUR,SK	0 	10 b	0 	-12 
A,10-49,NET,EUR,UK	4 	16 b	15 	: 
A,10-49,NET,PPS,AT	-4 	-9 b	3 	: 
A,10-49,NET,PPS,BE	36 	44 	43 	: 
A,10-49,NET,PPS,BG	-1 	-3 b	-5 	: 
A,10-49,NET,PPS,CY	63 	84 	84 	: 
A,10-49,NET,PPS,CZ	0 	-8 b	-32 bd	: 
A,10-49,NET,PPS,DE	-2 	4 b	9 	: 
A,10-49,NET,PPS,DK	2 u	3 b	15 	: 
A,10-49,NET,PPS,EE	-2 	-13 b	-2 	: 
A,10-49,NET,PPS,EL	4 	58 b	118 	: 
A,10-49,NET,PPS,ES	23 	108 b	99 	: 
A,10-49,NET,PPS,EU27_2020	52 	56 	70 	: 
A,10-49,NET,PPS,EU28	44 	51 b	60 	: 
A,10-49,NET,PPS,FI	-4 	0 b	-5 	: 
A,10-49,NET,PPS,FR	230 	179 	274 	: 
A,10-49,NET,PPS,HR	: 	-5 	-6 	: 
A,10-49,NET,PPS,HU	56 	85 b	107 	: 
A,10-49,NET,PPS,IE	-1 	: 	10 	: 
A,10-49,NET,PPS,IT	48 	65 	69 	: 
A,10-49,NET,PPS,LT	-1 	-27 b	5 	: 
A,10-49,NET,PPS,LU	3 	-26 b	-22 	: 
A,10-49,NET,PPS,LV	: 	0 	-3 	: 
A,10-49,NET,PPS,MK	: 	: 	12 	: 
A,10-49,NET,PPS,MT	-6 	-7 b	12 	: 
A,10-49,NET,PPS,NL	19 u	24 b	21 	: 
A,10-49,NET,PPS,NO	2 	-6 	-14 	: 
A,10-49,NET,PPS,PL	0 	-8 b	-1 	: 
A,10-49,NET,PPS,PT	-5 	-39 b	1 	: 
A,10-49,NET,PPS,RO	0 	: 	0 	: 
A,10-49,NET,PPS,SE	-7 	-3 b	49 b	: 
A,10-49,NET,PPS,SI	-14 	-42 b	-7 	: 
A,10-49,NET,PPS,SK	0 	16 b	0 	: 
A,10-49,NET,PPS,UK	3 	15 b	12 	: 
A,10-49,NET,PPS_EU27_2020,AT	-4 	-9 b	3 	16 
A,10-49,NET,PPS_EU27_2020,BE	35 	43 	41 	2 
A,10-49,NET,PPS_EU27_2020,BG	-1 	-3 b	-5 	0 
A,10-49,NET,PPS_EU27_2020,CY	61 	83 	80 	3 
A,10-49,NET,PPS_EU27_2020,CZ	0 	-8 b	-31 bd	-129 b
A,10-49,NET,PPS_EU27_2020,DE	-2 	4 b	9 	2 
A,10-49,NET,PPS_EU27_2020,DK	2 u	3 b	14 	7 
A,10-49,NET,PPS_EU27_2020,EE	-1 	-13 b	-2 	-5 
A,10-49,NET,PPS_EU27_2020,EL	4 	57 b	113 	2 
A,10-49,NET,PPS_EU27_2020,ES	22 	107 b	95 	-18 
A,10-49,NET,PPS_EU27_2020,EU27_2020	50 	56 	67 	37 
A,10-49,NET,PPS_EU27_2020,EU28	43 	50 b	57 	: 
A,10-49,NET,PPS_EU27_2020,FI	-4 	0 b	-4 	-1 
A,10-49,NET,PPS_EU27_2020,FR	221 	177 	262 	207 
A,10-49,NET,PPS_EU27_2020,HR	: 	-5 	-6 	-9 
A,10-49,NET,PPS_EU27_2020,HU	54 	84 b	102 	122 b
A,10-49,NET,PPS_EU27_2020,IE	-1 	: 	9 	34 
A,10-49,NET,PPS_EU27_2020,IT	47 	64 	66 	50 
A,10-49,NET,PPS_EU27_2020,LT	-1 	-26 b	4 	-2 
A,10-49,NET,PPS_EU27_2020,LU	2 	-26 b	-21 	-3 
A,10-49,NET,PPS_EU27_2020,LV	: 	0 	-3 	-1 
A,10-49,NET,PPS_EU27_2020,MK	: 	: 	12 	-4 
A,10-49,NET,PPS_EU27_2020,MT	-6 	-7 b	11 	-3 
A,10-49,NET,PPS_EU27_2020,NL	19 u	23 b	20 	10 
A,10-49,NET,PPS_EU27_2020,NO	2 	-6 	-13 	-9 
A,10-49,NET,PPS_EU27_2020,PL	0 	-8 b	-1 	-4 
A,10-49,NET,PPS_EU27_2020,PT	-5 	-38 b	1 	-1 
A,10-49,NET,PPS_EU27_2020,RO	0 	: 	0 	-1 
A,10-49,NET,PPS_EU27_2020,RS	: 	: 	: 	-4 
A,10-49,NET,PPS_EU27_2020,SE	-6 	-3 b	47 b	-1 b
A,10-49,NET,PPS_EU27_2020,SI	-13 	-42 b	-6 	-16 
A,10-49,NET,PPS_EU27_2020,SK	0 	16 b	0 	-14 
A,10-49,NET,PPS_EU27_2020,UK	3 	15 b	11 	: 
A,10-49,TOTAL,EUR,AT	200 	387 b	427 	399 
A,10-49,TOTAL,EUR,BE	323 	578 	813 	487 
A,10-49,TOTAL,EUR,BG	15 	24 b	58 	27 
A,10-49,TOTAL,EUR,CY	183 	317 	237 	181 
A,10-49,TOTAL,EUR,CZ	97 	103 b	139 bd	55 b
A,10-49,TOTAL,EUR,DE	289 	297 b	338 	327 
A,10-49,TOTAL,EUR,DK	848 u	1023 b	569 	385 
A,10-49,TOTAL,EUR,EE	114 	102 b	172 	189 
A,10-49,TOTAL,EUR,EL	55 	118 b	126 	45 
A,10-49,TOTAL,EUR,ES	153 	315 b	336 	500 
A,10-49,TOTAL,EUR,EU27_2020	259 	333 	352 	342 
A,10-49,TOTAL,EUR,EU28	276 	329 b	352 	: 
A,10-49,TOTAL,EUR,FI	395 	397 b	486 	244 
A,10-49,TOTAL,EUR,FR	566 	572 	571 	514 
A,10-49,TOTAL,EUR,HR	: 	151 	134 	105 
A,10-49,TOTAL,EUR,HU	87 	99 b	97 	161 b
A,10-49,TOTAL,EUR,IE	450 	: 	663 	493 
A,10-49,TOTAL,EUR,IT	179 	246 	314 	448 
A,10-49,TOTAL,EUR,LT	31 	47 b	74 	61 
A,10-49,TOTAL,EUR,LU	438 	667 b	680 	796 
A,10-49,TOTAL,EUR,LV	: 	33 	51 	59 
A,10-49,TOTAL,EUR,MK	: 	: 	197 	39 
A,10-49,TOTAL,EUR,MT	139 	240 b	235 	148 
A,10-49,TOTAL,EUR,NL	436 u	660 b	675 	649 
A,10-49,TOTAL,EUR,NO	427 	797 	892 	821 
A,10-49,TOTAL,EUR,PL	31 	26 b	44 	40 
A,10-49,TOTAL,EUR,PT	95 	225 b	155 	106 
A,10-49,TOTAL,EUR,RO	16 	: 	26 	8 
A,10-49,TOTAL,EUR,RS	: 	: 	: 	70 
A,10-49,TOTAL,EUR,SE	515 	888 b	834 b	684 b
A,10-49,TOTAL,EUR,SI	317 	288 b	473 	268 
A,10-49,TOTAL,EUR,SK	69 	229 b	188 	159 
A,10-49,TOTAL,EUR,UK	398 	297 b	358 	: 
A,10-49,TOTAL,PPS,AT	193 	351 b	402 	: 
A,10-49,TOTAL,PPS,BE	307 	529 	764 	: 
A,10-49,TOTAL,PPS,BG	41 	54 b	126 	: 
A,10-49,TOTAL,PPS,CY	215 	346 	269 	: 
A,10-49,TOTAL,PPS,CZ	168 	146 b	221 bd	: 
A,10-49,TOTAL,PPS,DE	282 	283 b	326 	: 
A,10-49,TOTAL,PPS,DK	626 u	768 b	437 	: 
A,10-49,TOTAL,PPS,EE	192 	152 b	240 	: 
A,10-49,TOTAL,PPS,EL	66 	125 b	156 	: 
A,10-49,TOTAL,PPS,ES	169 	331 b	380 	: 
A,10-49,TOTAL,PPS,EU27_2020	269 	337 	368 	: 
A,10-49,TOTAL,PPS,EU28	276 	329 b	352 	: 
A,10-49,TOTAL,PPS,FI	343 	338 b	403 	: 
A,10-49,TOTAL,PPS,FR	525 	512 	531 	: 
A,10-49,TOTAL,PPS,HR	: 	217 	218 	: 
A,10-49,TOTAL,PPS,HU	141 	164 b	170 	: 
A,10-49,TOTAL,PPS,IE	378 	: 	616 	: 
A,10-49,TOTAL,PPS,IT	178 	244 	319 	: 
A,10-49,TOTAL,PPS,LT	60 	80 b	125 	: 
A,10-49,TOTAL,PPS,LU	393 	551 b	580 	: 
A,10-49,TOTAL,PPS,LV	: 	51 	78 	: 
A,10-49,TOTAL,PPS,MK	: 	: 	470 	: 
A,10-49,TOTAL,PPS,MT	206 	321 b	294 	: 
A,10-49,TOTAL,PPS,NL	413 u	592 b	626 	: 
A,10-49,TOTAL,PPS,NO	323 	534 	604 	: 
A,10-49,TOTAL,PPS,PL	56 	45 b	79 	: 
A,10-49,TOTAL,PPS,PT	122 	276 b	199 	: 
A,10-49,TOTAL,PPS,RO	34 	: 	53 	: 
A,10-49,TOTAL,PPS,SE	428 	718 b	662 b	: 
A,10-49,TOTAL,PPS,SI	441 	346 b	598 	: 
A,10-49,TOTAL,PPS,SK	104 	349 b	287 	: 
A,10-49,TOTAL,PPS,UK	327 	278 b	282 	: 
A,10-49,TOTAL,PPS_EU27_2020,AT	186 	348 b	384 	349 
A,10-49,TOTAL,PPS_EU27_2020,BE	296 	523 	731 	437 
A,10-49,TOTAL,PPS_EU27_2020,BG	39 	53 b	121 	50 
A,10-49,TOTAL,PPS_EU27_2020,CY	207 	342 	257 	197 
A,10-49,TOTAL,PPS_EU27_2020,CZ	162 	144 b	211 bd	76 b
A,10-49,TOTAL,PPS_EU27_2020,DE	272 	280 b	312 	296 
A,10-49,TOTAL,PPS_EU27_2020,DK	604 u	760 b	418 	289 
A,10-49,TOTAL,PPS_EU27_2020,EE	185 	150 b	229 	236 
A,10-49,TOTAL,PPS_EU27_2020,EL	64 	124 b	149 	54 
A,10-49,TOTAL,PPS_EU27_2020,ES	163 	328 b	364 	532 
A,10-49,TOTAL,PPS_EU27_2020,EU27_2020	259 	333 	352 	342 
A,10-49,TOTAL,PPS_EU27_2020,EU28	266 	325 b	337 	: 
A,10-49,TOTAL,PPS_EU27_2020,FI	330 	334 b	385 	193 
A,10-49,TOTAL,PPS_EU27_2020,FR	506 	507 	508 	473 
A,10-49,TOTAL,PPS_EU27_2020,HR	: 	214 	208 	163 
A,10-49,TOTAL,PPS_EU27_2020,HU	135 	163 b	162 	253 b
A,10-49,TOTAL,PPS_EU27_2020,IE	364 	: 	589 	412 
A,10-49,TOTAL,PPS_EU27_2020,IT	171 	241 	305 	451 
A,10-49,TOTAL,PPS_EU27_2020,LT	58 	79 b	119 	90 
A,10-49,TOTAL,PPS_EU27_2020,LU	379 	545 b	555 	615 
A,10-49,TOTAL,PPS_EU27_2020,LV	: 	51 	74 	79 
A,10-49,TOTAL,PPS_EU27_2020,MK	: 	: 	450 	84 
A,10-49,TOTAL,PPS_EU27_2020,MT	198 	317 b	281 	169 
A,10-49,TOTAL,PPS_EU27_2020,NL	398 u	585 b	599 	561 
A,10-49,TOTAL,PPS_EU27_2020,NO	311 	528 	578 	582 
A,10-49,TOTAL,PPS_EU27_2020,PL	54 	44 b	76 	66 
A,10-49,TOTAL,PPS_EU27_2020,PT	117 	273 b	191 	125 
A,10-49,TOTAL,PPS_EU27_2020,RO	33 	: 	51 	16 
A,10-49,TOTAL,PPS_EU27_2020,RS	: 	: 	: 	131 
A,10-49,TOTAL,PPS_EU27_2020,SE	413 	710 b	634 b	548 b
A,10-49,TOTAL,PPS_EU27_2020,SI	425 	342 b	572 	319 
A,10-49,TOTAL,PPS_EU27_2020,SK	100 	345 b	274 	198 
A,10-49,TOTAL,PPS_EU27_2020,UK	315 	274 b	270 	: 
A,50-249,DIR,EUR,AT	302 	370 b	295 	209 
A,50-249,DIR,EUR,BE	174 	332 	408 	284 
A,50-249,DIR,EUR,BG	18 	30 b	47 	20 
A,50-249,DIR,EUR,CY	143 	133 	80 	153 
A,50-249,DIR,EUR,CZ	75 	96 b	109 bd	79 b
A,50-249,DIR,EUR,DE	190 	237 b	241 	181 
A,50-249,DIR,EUR,DK	851 u	321 b	324 	203 
A,50-249,DIR,EUR,EE	97 	86 b	122 	111 
A,50-249,DIR,EUR,EL	52 	36 b	69 	29 
A,50-249,DIR,EUR,ES	110 	138 b	169 	143 
A,50-249,DIR,EUR,EU27_2020	174 	206 	192 	162 
A,50-249,DIR,EUR,EU28	186 	204 b	200 	: 
A,50-249,DIR,EUR,FI	258 	252 b	279 	137 
A,50-249,DIR,EUR,FR	243 	320 	141 	158 
A,50-249,DIR,EUR,HR	: 	176 	113 	59 
A,50-249,DIR,EUR,HU	63 	72 b	52 	56 b
A,50-249,DIR,EUR,IE	552 	: 	356 	163 
A,50-249,DIR,EUR,IT	130 	123 	164 	219 
A,50-249,DIR,EUR,LT	26 	45 b	65 	52 
A,50-249,DIR,EUR,LU	386 	398 b	627 	307 
A,50-249,DIR,EUR,LV	: 	30 	48 	38 
A,50-249,DIR,EUR,MK	: 	: 	69 	33 
A,50-249,DIR,EUR,MT	128 	172 b	264 	115 
A,50-249,DIR,EUR,NL	343 u	366 b	477 	460 
A,50-249,DIR,EUR,NO	362 	419 	457 	458 
A,50-249,DIR,EUR,PL	45 	47 b	51 	32 
A,50-249,DIR,EUR,PT	82 	187 b	83 	51 
A,50-249,DIR,EUR,RO	16 	: 	20 	19 
A,50-249,DIR,EUR,RS	: 	: 	: 	34 
A,50-249,DIR,EUR,SE	450 	498 b	490 b	370 b
A,50-249,DIR,EUR,SI	194 	199 b	197 	296 
A,50-249,DIR,EUR,SK	50 	125 b	106 	108 
