freq,size_emp,cost,unit,geo,2005,2010,2015,2020,2005_value,2005_note,2010_value,2010_note,2015_value,2015_note,2020_value,2020_note
A,GE250,NET,PPS_EU27_2020,BG,0 ,-9 b,0 ,-1 ,0.0,,-9.0,b,0.0,,-1.0,
A,GE250,TOTAL,EUR,BG,41 ,73 b,130 ,121 ,41.0,,73.0,b,130.0,,121.0,
A,GE250,TOTAL,PPS,BG,114 ,161 b,282 ,: ,114.0,,161.0,b,282.0,,,
A,GE250,TOTAL,PPS_EU27_2020,BG,109 ,159 b,270 ,225 ,109.0,,159.0,b,270.0,,225.0,
A,TOTAL,DIR,EUR,BG,18 ,27 b,49 ,24 ,18.0,,27.0,b,49.0,,24.0,
A,TOTAL,DIR,PPS,BG,51 ,59 b,107 ,: ,51.0,,59.0,b,107.0,,,
A,TOTAL,DIR,PPS_EU27_2020,BG,49 ,58 b,102 ,44 ,49.0,,58.0,b,102.0,,44.0,
A,TOTAL,LCP,EUR,BG,11 ,23 ,48 ,49 ,11.0,,23.0,,48.0,,49.0,
A,TOTAL,LCP,PPS,BG,31 ,50 ,103 ,: ,31.0,,50.0,,103.0,,,
A,TOTAL,LCP,PPS_EU27_2020,BG,29 ,49 ,99 ,92 ,29.0,,49.0,,99.0,,92.0,
A,TOTAL,NET,EUR,BG,0 ,-2 b,-1 ,0 ,0.0,,-2.0,b,-1.0,,0.0,
A,TOTAL,NET,PPS,BG,0 ,-4 b,-3 ,: ,0.0,,-4.0,b,-3.0,,,
A,TOTAL,NET,PPS_EU27_2020,BG,0 ,-4 b,-2 ,0 ,0.0,,-4.0,b,-2.0,,0.0,
A,TOTAL,TOTAL,EUR,BG,29 ,48 b,96 ,73 ,29.0,,48.0,b,96.0,,73.0,
A,TOTAL,TOTAL,PPS,BG,81 ,105 b,208 ,: ,81.0,,105.0,b,208.0,,,
A,TOTAL,TOTAL,PPS_EU27_2020,BG,78 ,104 b,199 ,135 ,78.0,,104.0,b,199.0,,135.0,
A,10-49,DIR,EUR,CY,82 ,126 ,88 ,113 ,82.0,,126.0,,88.0,,113.0,
A,10-49,DIR,PPS,CY,97 ,138 ,100 ,: ,97.0,,138.0,,100.0,,,
A,10-49,DIR,PPS_EU27_2020,CY,93 ,137 ,96 ,123 ,93.0,,137.0,,96.0,,123.0,
A,10-49,LCP,EUR,CY,47 ,113 ,74 ,65 ,47.0,,113.0,,74.0,,65.0,
A,10-49,LCP,PPS,CY,56 ,124 ,84 ,: ,56.0,,124.0,,84.0,,,
A,10-49,LCP,PPS_EU27_2020,CY,54 ,123 ,81 ,71 ,54.0,,123.0,,81.0,,71.0,
A,10-49,NET,EUR,CY,54 ,77 ,74 ,2 ,54.0,,77.0,,74.0,,2.0,
A,10-49,NET,PPS,CY,63 ,84 ,84 ,: ,63.0,,84.0,,84.0,,,
A,10-49,NET,PPS_EU27_2020,CY,61 ,83 ,80 ,3 ,61.0,,83.0,,80.0,,3.0,
A,10-49,TOTAL,EUR,CY,183 ,317 ,237 ,181 ,183.0,,317.0,,237.0,,181.0,
A,10-49,TOTAL,PPS,CY,215 ,346 ,269 ,: ,215.0,,346.0,,269.0,,,
A,10-49,TOTAL,PPS_EU27_2020,CY,207 ,342 ,257 ,197 ,207.0,,342.0,,257.0,,197.0,
A,50-249,DIR,EUR,CY,143 ,133 ,80 ,153 ,143.0,,133.0,,80.0,,153.0,
A,50-249,DIR,PPS,CY,168 ,146 ,90 ,: ,168.0,,146.0,,90.0,,,
A,50-249,DIR,PPS_EU27_2020,CY,161 ,144 ,86 ,167 ,161.0,,144.0,,86.0,,167.0,
A,50-249,LCP,EUR,CY,92 ,132 ,122 ,85 ,92.0,,132.0,,122.0,,85.0,
A,50-249,LCP,PPS,CY,108 ,144 ,138 ,: ,108.0,,144.0,,138.0,,,
A,50-249,LCP,PPS_EU27_2020,CY,104 ,142 ,132 ,93 ,104.0,,142.0,,132.0,,93.0,
A,50-249,NET,EUR,CY,64 ,72 ,65 ,-2 ,64.0,,72.0,,65.0,,-2.0,
A,50-249,NET,PPS,CY,75 ,79 ,74 ,: ,75.0,,79.0,,74.0,,,
A,50-249,NET,PPS_EU27_2020,CY,72 ,78 ,71 ,-2 ,72.0,,78.0,,71.0,,-2.0,
A,50-249,TOTAL,EUR,CY,298 ,337 ,267 ,236 ,298.0,,337.0,,267.0,,236.0,
A,50-249,TOTAL,PPS,CY,350 ,369 ,302 ,: ,350.0,,369.0,,302.0,,,
A,50-249,TOTAL,PPS_EU27_2020,CY,337 ,365 ,289 ,257 ,337.0,,365.0,,289.0,,257.0,
A,GE250,DIR,EUR,CY,179 ,256 ,136 ,135 ,179.0,,256.0,,136.0,,135.0,
A,GE250,DIR,PPS,CY,210 ,280 ,154 ,: ,210.0,,280.0,,154.0,,,
A,GE250,DIR,PPS_EU27_2020,CY,203 ,277 ,147 ,147 ,203.0,,277.0,,147.0,,147.0,
A,GE250,LCP,EUR,CY,195 ,380 ,220 ,463 ,195.0,,380.0,,220.0,,463.0,
A,GE250,LCP,PPS,CY,229 ,415 ,250 ,: ,229.0,,415.0,,250.0,,,
A,GE250,LCP,PPS_EU27_2020,CY,220 ,410 ,239 ,505 ,220.0,,410.0,,239.0,,505.0,
A,GE250,NET,EUR,CY,59 ,82 ,85 ,28 ,59.0,,82.0,,85.0,,28.0,
A,GE250,NET,PPS,CY,70 ,90 ,97 ,: ,70.0,,90.0,,97.0,,,
A,GE250,NET,PPS_EU27_2020,CY,67 ,89 ,93 ,31 ,67.0,,89.0,,93.0,,31.0,
A,GE250,TOTAL,EUR,CY,433 ,718 ,441 ,626 ,433.0,,718.0,,441.0,,626.0,
A,GE250,TOTAL,PPS,CY,509 ,785 ,500 ,: ,509.0,,785.0,,500.0,,,
A,GE250,TOTAL,PPS_EU27_2020,CY,490 ,776 ,478 ,683 ,490.0,,776.0,,478.0,,683.0,
A,TOTAL,DIR,EUR,CY,126 ,166 ,98 ,131 ,126.0,,166.0,,98.0,,131.0,
A,TOTAL,DIR,PPS,CY,148 ,181 ,111 ,: ,148.0,,181.0,,111.0,,,
A,TOTAL,DIR,PPS_EU27_2020,CY,142 ,180 ,106 ,143 ,142.0,,180.0,,106.0,,143.0,
A,TOTAL,LCP,EUR,CY,98 ,196 ,129 ,181 ,98.0,,196.0,,129.0,,181.0,
A,TOTAL,LCP,PPS,CY,116 ,214 ,146 ,: ,116.0,,214.0,,146.0,,,
A,TOTAL,LCP,PPS_EU27_2020,CY,112 ,212 ,140 ,198 ,112.0,,212.0,,140.0,,198.0,
A,TOTAL,NET,EUR,CY,58 ,77 ,74 ,8 ,58.0,,77.0,,74.0,,8.0,
A,TOTAL,NET,PPS,CY,69 ,84 ,84 ,: ,69.0,,84.0,,84.0,,,
A,TOTAL,NET,PPS_EU27_2020,CY,66 ,83 ,80 ,9 ,66.0,,83.0,,80.0,,9.0,
A,TOTAL,TOTAL,EUR,CY,283 ,439 ,301 ,320 ,283.0,,439.0,,301.0,,320.0,
A,TOTAL,TOTAL,PPS,CY,332 ,480 ,342 ,: ,332.0,,480.0,,342.0,,,
A,TOTAL,TOTAL,PPS_EU27_2020,CY,320 ,475 ,327 ,350 ,320.0,,475.0,,327.0,,350.0,
A,10-49,DIR,EUR,CZ,48 ,61 b,83 bd,63 b,48.0,,61.0,b,83.0,bd,63.0,b
A,10-49,DIR,PPS,CZ,83 ,87 b,132 bd,: ,83.0,,87.0,b,132.0,bd,,
A,10-49,DIR,PPS_EU27_2020,CZ,80 ,86 b,126 bd,87 b,80.0,,86.0,b,126.0,bd,87.0,b
A,10-49,LCP,EUR,CZ,49 ,47 ,77 bd,85 b,49.0,,47.0,,77.0,bd,85.0,b
A,10-49,LCP,PPS,CZ,84 ,67 ,121 bd,: ,84.0,,67.0,,121.0,bd,,
A,10-49,LCP,PPS_EU27_2020,CZ,81 ,66 ,116 bd,118 b,81.0,,66.0,,116.0,bd,118.0,b
A,10-49,NET,EUR,CZ,0 ,-6 b,-20 bd,-93 b,0.0,,-6.0,b,-20.0,bd,-93.0,b
A,10-49,NET,PPS,CZ,0 ,-8 b,-32 bd,: ,0.0,,-8.0,b,-32.0,bd,,
A,10-49,NET,PPS_EU27_2020,CZ,0 ,-8 b,-31 bd,-129 b,0.0,,-8.0,b,-31.0,bd,-129.0,b
A,10-49,TOTAL,EUR,CZ,97 ,103 b,139 bd,55 b,97.0,,103.0,b,139.0,bd,55.0,b
A,10-49,TOTAL,PPS,CZ,168 ,146 b,221 bd,: ,168.0,,146.0,b,221.0,bd,,
A,10-49,TOTAL,PPS_EU27_2020,CZ,162 ,144 b,211 bd,76 b,162.0,,144.0,b,211.0,bd,76.0,b
A,50-249,DIR,EUR,CZ,75 ,96 b,109 bd,79 b,75.0,,96.0,b,109.0,bd,79.0,b
A,50-249,DIR,PPS,CZ,130 ,136 b,173 bd,: ,130.0,,136.0,b,173.0,bd,,
A,50-249,DIR,PPS_EU27_2020,CZ,125 ,135 b,166 bd,109 b,125.0,,135.0,b,166.0,bd,109.0,b
A,50-249,LCP,EUR,CZ,92 ,77 ,126 bd,113 b,92.0,,77.0,,126.0,bd,113.0,b
A,50-249,LCP,PPS,CZ,160 ,108 ,199 bd,: ,160.0,,108.0,,199.0,bd,,
A,50-249,LCP,PPS_EU27_2020,CZ,154 ,107 ,190 bd,156 b,154.0,,107.0,,190.0,bd,156.0,b
A,50-249,NET,EUR,CZ,-1 ,-17 b,-20 bd,-47 b,-1.0,,-17.0,b,-20.0,bd,-47.0,b
A,50-249,NET,PPS,CZ,-1 ,-24 b,-32 bd,: ,-1.0,,-24.0,b,-32.0,bd,,
A,50-249,NET,PPS_EU27_2020,CZ,-1 ,-24 b,-31 bd,-66 b,-1.0,,-24.0,b,-31.0,bd,-66.0,b
A,50-249,TOTAL,EUR,CZ,167 ,156 b,215 bd,144 b,167.0,,156.0,b,215.0,bd,144.0,b
A,50-249,TOTAL,PPS,CZ,289 ,221 b,340 bd,: ,289.0,,221.0,b,340.0,bd,,
A,50-249,TOTAL,PPS_EU27_2020,CZ,279 ,219 b,325 bd,199 b,279.0,,219.0,b,325.0,bd,199.0,b
